sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新竹,新竹市,23,,良好,0.3,0.31,7.4,17.4,20,9,14.7,15.9,1.1,0.9,68,"2023/07/28 23:00:00",0.2,4.3,17,0,120.97236752,24.8056356,24
頭份,苗栗縣,23,,良好,0.7,0.21,8.4,14.8,20,10,9.2,11.2,1.9,1.2,91,"2023/07/28 23:00:00",0.2,7.2,16,0,120.89869286,24.69690679,25
苗栗,苗栗縣,24,,良好,2.4,0.22,3.4,14.7,18,6,11.5,13.7,2.2,0.8,13,"2023/07/28 23:00:00",0.2,7.3,15,1,120.82011468,24.56499183,26
三義,苗栗縣,21,,良好,0.9,0.12,21.2,15.9,12,5,1.7,2.4,0.6,0.7,232,"2023/07/28 23:00:00",0.2,6.5,19,0,120.75956754,24.38248443,27
豐原,臺中市,29,,良好,0.7,0.13,20,11.6,15,7,2.4,3.5,1.1,0.3,47,"2023/07/28 23:00:00",0.2,9,18,1,120.74252414,24.25699731,28
沙鹿,臺中市,19,,良好,0.7,0.17,19,20.3,12,6,4.1,4.7,0.5,2.3,131,"2023/07/28 23:00:00",0.1,4.4,9,0,120.568794,24.225628,29
大里,臺中市,19,,良好,1.1,0.25,7.2,6.6,20,3,7.8,10.6,2.8,0.3,141,"2023/07/28 23:00:00",0.3,5.5,19,1,120.67844444,24.09961111,30
忠明,臺中市,22,,良好,0.7,0.37,6.7,11.3,17,4,12.4,14.3,1.8,0.3,341,"2023/07/28 23:00:00",0.3,6.7,12,0,120.641092,24.151958,31
西屯,臺中市,23,,良好,0.8,0.28,4.8,13.3,16,5,14.6,16.3,1.7,0.3,335,"2023/07/28 23:00:00",0.1,5.2,11,0,120.616917,24.162197,32
彰化,彰化縣,21,,良好,1.5,0.18,16.7,17,11,7,4.4,4.8,0.4,0.3,90,"2023/07/28 23:00:00",0.2,6.5,12,1,120.541519,24.066,33
線西,彰化縣,37,,良好,0.9,0.15,19.6,,10,15,4.4,4.7,0.3,1.6,162,"2023/07/28 23:00:00",0.1,11.3,10,1,120.469061,24.131672,34
